,fid,Label,State2017,State2022,FloorArea,Subway,SubwayDistance,RoadsDistance,Roads,Crosswalks,BusStations,BusStationDistance,PublicSpaces,LandValueGrowthRate(1y),LandValueGrowthRate(5y),TotalPopulations,10s,20s,30s,40s,50s,ShortForeigners,ShortChinese,LongForeigners,LongChinese,WorkingPopulations,FranchiseF&Bs,F&Bs,F&BDiversity,ServiceDiversity,Accommodations,RetailDiversity,AverageArea,OpeningRate,ClosingRate,BuildingAge,ResidentialArea,LivingFacilityArea,HousingUnitAreaPrice,AdjacentPopulations,RentGap(%),InflowIDX,NearestIC,GreenSpace,CV
0,797,0,Under,Under,2092.34745454545,0,397.700879123867,1514.89024675518,12,17,1,106.71120462183,1,5.16346139344966,15.666263300733148,2111.92798735058,7.502322736646954,12.824784892544628,17.15837838361773,15.217293710695316,15.371940391409426,94.4021523474888,47.1353353837708,41.6523160062116,58.29485351219403,386.391205802357,0.0,6,1,1,0,8,67.0,1.3066666666666666,1.0133333333333334,19.8571428571429,0.695652173913043,0.159420289855072,3107732.28,7199.75450233154,7.870251897758619,-12.000000000000192,2035.20071492713,3084.165,105
1,798,0,Under,Under,412.213494623656,0,426.403239704174,2621.13900806334,30,4,1,70.8919471404815,2,-22.6506210413589,-15.288670558125151,1919.93453395508,7.502322736646916,12.824784892544564,17.158378383617663,15.217293710695222,15.37194039140941,85.8201384977171,47.13533538377074,37.8657418238288,58.29485351219381,351.264732547597,0.0,5,2,3,0,8,75.0,1.253968253968254,1.0158730158730158,26.6612903225806,0.775147928994083,0.136094674556213,2942874.212,6560.60402865329,-26.436099629020752,-12.206199662265432,2372.38337936155,777.713,178
2,800,0,Under,Under,8653.04833333333,0,613.742959660146,775.686021337859,4,3,2,142.541283005364,0,-31.7763627679427,-23.701535969796858,432.405243142529,6.894198210649163,14.976583430147034,17.72142823741312,15.300339648260598,14.04744109228609,10.5111558706218,31.9777324833113,11.6426775015938,70.45753681314163,464.175591985428,0.0,0,0,0,0,0,0.0,1.0,1.0,21.0,0.0,0.0,4976299.717333333,1701.72386010931,-25.532852820224,-23.77049180327874,3092.11999780334,0.0,112
3,801,0,Under,Under,19723.836,0,903.669084693751,15.5334735718215,1,0,0,463.67043988148,0,-35.6981854370155,-20.117827291011587,306.868237068892,6.894198210649136,14.976583430147004,17.7214282374131,15.300339648260564,14.047441092286082,7.45952997269937,31.97773248331118,8.26254532371173,70.45753681314157,329.414936247723,0.0,0,0,0,0,0,0.0,1.0,1.0,16.0,0.0,0.0,5103512.115999999,1590.13541026608,-38.70874932036158,-42.10526315789469,3465.26309452567,0.0,27
4,871,3,Local,Under,942.503506167401,0,426.557346869804,4292.61585684347,45,22,8,107.593606371579,2,-6.29526620525697,1.9305154617902047,2639.90998418823,7.502322736646932,12.824784892544614,17.158378383617713,15.21729371069527,15.3719403914094,118.002690434361,47.13533538377072,52.0653950077646,58.29485351219392,482.989007252946,7.936507936507937,63,7,14,3,12,91.0,1.8606965174129355,1.034825870646766,22.8488888888889,0.589108910891089,0.316831683168317,2503806.129,2639.90998418823,1.456043519655998,0.0,1346.95762515725,275.306,330
5,872,0,Under,Under,857.42213003413,0,398.075242943887,3970.06815509321,46,11,3,139.564182137412,0,-4.97864476270657,4.410894727011032,2639.90998418823,7.502322736646932,12.824784892544614,17.158378383617713,15.21729371069527,15.3719403914094,118.002690434361,47.13533538377072,52.0653950077646,58.29485351219392,482.989007252946,3.8461538461538463,26,7,12,0,10,52.0,1.5497630331753554,1.004739336492891,24.4914675767918,0.750915750915751,0.21978021978022,2348085.488,7391.74795572704,-2.1141337387338406,7.142857142857189,1679.32000279818,4759.738,264
6,873,0,Under,Under,294.990903811252,0,370.542499756209,5482.91820550711,79,7,2,131.168274199286,1,-3.04414360517308,5.6751610576363145,2639.90998418823,7.502322736646932,12.824784892544614,17.158378383617713,15.21729371069527,15.3719403914094,118.002690434361,47.13533538377072,52.0653950077646,58.29485351219392,482.989007252946,2.631578947368421,38,6,11,0,13,77.0,1.6145251396648046,1.011173184357542,29.9890510948905,0.872623574144487,0.119771863117871,2993888.109,8480.53856260837,-4.90050207297852,24.516147869564996,2036.21309316131,0.0,247
7,874,2,Both,Both,366.653527315915,1,55.8800586016663,5079.69457757453,77,16,5,81.9040551365106,1,29.2468140591878,39.87241156112272,1808.76605711448,7.394461048514348,13.206444590295144,17.258245277875133,15.23202338304922,15.137016910730106,74.3092068526438,45.544575911778416,37.9840654791659,61.06082030951313,616.618510165189,1.0416666666666667,96,8,14,5,15,70.0,3.0754716981132075,1.0754716981132075,32.9569892473118,0.581632653061224,0.375,3404943.353,5313.06655458514,48.51962145062247,2.1311913862736467,2406.74865966992,0.0,156
8,875,0,Under,Under,435.425555023923,0,217.481778244556,4774.0368892683,63,9,8,76.0450228504033,0,0.570136953215132,18.949238010234613,753.222036441825,6.894198210649152,14.97658343014698,17.721428237413157,15.300339648260538,14.047441092286086,18.3097553875348,31.977732483311268,20.2807930672924,70.45753681314154,808.563934426229,2.380952380952381,84,9,15,4,12,86.0,3.102272727272727,1.1477272727272727,25.0509708737864,0.771929824561403,0.197994987468672,2590394.328,2882.8048868556,24.140997219684003,-21.61571115587395,2785.48769911844,406.557,103
9,876,0,Under,Under,400.294293785311,0,571.9462198111,2376.30652977857,27,9,4,162.331201411015,1,-24.8831074748681,-18.08723870751816,641.633586598592,6.894198210649151,14.976583430147029,17.72142823741305,15.300339648260588,14.047441092286093,15.597199033826,31.977732483311154,17.2762311313973,70.4575368131417,688.776684881603,11.538461538461538,26,5,9,0,7,92.0,1.5833333333333337,1.037037037037037,24.1193181818182,0.69047619047619,0.208333333333333,2164139.0,2008.5920971782,-1.8533891712623551,27.777777777777853,3169.49074680739,0.0,148
